name,license_number,contact_info,city,status
Mumtaz Agencies,0008/RWP,05827443014 / 03435188099,Mirpur AJK,active
Al-Hadait Industries,0021/SKT,0524594370 / 03004599159,Sialkot,active
Haroon Recruiting Agency,0035/KAR,02132778694 / 03008250421,Karachi,active
Eastern Commodities Corporation,0036/KAR,02134530330 / 02134521357,Karachi,active
Chaudhry Recruting Agency,0055/RWP,053-7701058 / 03354567802,Gujrat,active
Al-Amal Company,0056/RWP,051-4853259 / 03333664912,Rawalpindi,active
Mackinon Mackenzie Co. of Pak,0077/KAR,32413041,Karachi,active
Allied Services International Ltd.,0089/KAR,021-35810371 / 03378034945,Karachi,active
Popular International Recruiting Agency,0110/LHR,04236366406 / 03332271991,Lahore,active
Continental Travels,0114/LHR,042-36364070 / 03002488192,Lahore,active
Humayun Travel Service,0118/RWP,051-5761445 / 03009546128,Rawalpindi,active
Gullivers,0122/KAR,02135870274 / 03002424403,Karachi,active
Tahir and Company,0132/KAR,02132412718 / 03002010140,Karachi,active
Jan Muhammad & Sons,0140/RWP,051-4932011 / 051-4932012,Rawalpindi,active
Warraich Enterprises,0167/LHR,092-3223212127 / 03086010906,Sargodha,active
Islamabad Air Services,0169/RWP,051-5125403,Rawalpindi,active
Shameem Express,0176/RWP,051-5517074 / 03008500291,Rawalpindi,active
Fazal Muqeem Qazi,0233/PWR,0912272838 / 0300-9598411,Peshawar,active
Speed Man,0234/KAR,02135210461 / 03323314721,Karachi,active
Universal Employment Center,0237/KAR,02136600723 / 03002301864,Karachi,active
Syed Sarwar Shah,0250/KAR,021-36450685 / 03002886351,Karachi,active
Mehran International Traders,0255/KAR,02134968030 / 03322194394,Karachi,active
Excellent Trading Corp. Ltd,0299/KAR,000-35684308 / 03332321120,Karachi,active
Mughal Traders,0305/KAR,0002417631 / 03360305305,Karachi,active
Fauji Foundation,0310/RWP,051-5166161 / 0515166163,Rawalpindi,active
Hameed Recruiting Agency,0316/RWP,051-4412236 / 051-4421100,Rawalpindi,active
Khaleeq Recruiting Agency,0319/RWP,051-2651123 / 0333-8555548,Islamabad,active
Pakistan Progressive Associates,0332/LHR,04236361361 / 03350622521,Lahore,active
